authors,date,title,content,source_domain,url,copyright
,,Oprah Warns People That Her Name Is Being Used Without Permission to Sell Weight Loss Gummies,"“Please don’t be taken advantage of, and don’t give your personal information to them,” Oprah says. Our editors handpick the products that we feature. We may earn commission from the links on this page. Over the weekend, Oprah shared a short video on Instagram setting the record straight about fraudulent ads that feature her endorsement of weight loss gummies. “And so it happened to me again today,” Oprah told her 21.6 million followers in the clip. “A woman came up to me and said, ‘Can you help me get your weight loss gummies?’ And I said, ‘Ma’am, I don’t have anything to do with weight loss gummies. And let me just tell you, you’re the fifth person this week to mention it, so I’m going to address it.’” She continued, “There have been social media ads, emails, and fake websites going out, and I want you to hear it straight from me that I have nothing to do with them. Please don’t be taken advantage of, and don’t give your personal information to them.” Back in 2015, Oprah made headlines when she partnered with WW (formerly known as Weight Watchers) and has always been candid about her own weight loss journey. But gummies that claim to shed unwanted pounds are not part of her journey—despite the fact that some companies falsely advertise these products using Oprah’s name and image. In a statement to Oprah Daily, a spokesperson for Oprah said: “There is a company placing fraudulent ads claiming Oprah Winfrey is selling weight loss gummies, using a variety of methods including websites, texts, emails, and social media posts targeting consumers. These ads are false, Oprah Winfrey does not have anything to do with these products. We are working to have the fraudulent use of her name and image stopped.” Watch Oprah’s Instagram message above to hear her important message–and if you come across any of these ads, remember: They are fraudulent! Princess Gabbara is the Senior Culture Editor at Oprah Daily, where she oversees the site’s TV, movies, and music coverage. Before joining Oprah Daily, she served as Bustle’s lifestyle editor and as the sole web editor at Rachael Ray Every Day. Her bylines have appeared in Billboard, MTV News, Bitch Media, and Shondaland. Her career highlights include exclusive interview coverage of celebrities, including Mariah Carey, Venus and Serena Williams, Mary J. Blige, Lady Gaga, and Billy Porter. Follow her on Sheryl Lee Ralph Asked to Star in “Sister Act 3” “Friends” Costars Jennifer and David Reunite in Ad Martha Stewart Sets ""the Record Straight"" on Botox 5 Steamy Literary Sex Scenes If You Have a Teen Girl in Your Life, Read This Prince William Breaks Silence on King Charles 13 of the Best Historical Fiction Books Prince Harry Leaves London Jenna Bush Hager Drops Sweet Family Update on IG ""BBT"" Fans Console Kaley Cuoco Over Sad News A Directory of Black-Owned U.S. Bookstores ""Today"" Star Hoda Kotb Shares New Work Project  We may earn commission from links on this page, but we only recommend products we back.  ",www.oprahdaily.com,https://www.oprahdaily.com/entertainment/a41832519/oprah-weight-loss-gummies-diet-pills/,©2024 Oprah Daily LLC. All rights reserved.
,,Oprah Winfrey wants fans to know that she doesn’t endorse weight loss gummies or pills,"Oprah Winfrey is warning fans against falling victim to companies selling weight loss products using her name and image. On Sunday, the 68-year-old former talk show host and media mogul took to Instagram to distance herself from gummies being sold online, saying she does not endorse edible weight loss products. In the short video, Winfrey said she felt compelled to address the online scams after being approached five times in one week by people looking for weight loss gummies. “I have nothing to do with weight loss gummies or diet pills and I don’t want you all taken advantage of by people misusing my name,” she told her 21.6 million Instagram followers. Winfrey, who does have a partnership with and stake in WW International, the company formerly known as Weight Watchers, added in the video caption: “Fraud alert! Please don’t buy any weight loss gummies with my picture or name on them. “There have been social media ads, emails, and fake websites going out and I want you to hear it straight from me, that I have nothing to do with them. Please don’t be taken advantage of and don’t give your personal information to them.” CNN has contacted Winfrey’s representatives for further comment. Earlier this year, a series of sponsored videos began circulating online using Winfrey’s name and likeness to promote a product. One ad posted on Facebook on April 27 urged users to “Claim your fitness gummies from Oprah until the 30th,” with a promise that the product would induce considerable weight loss within three weeks. What's the magic number of steps to keep weight off? Here's what a new study says In May, Winfrey addressed the scams via her representative. “These ads are a complete fabrication,” Nicole Nichols told USA Today. “Oprah has nothing to do with this gummy product and does not endorse any such diet or weight-loss pill.” Winfrey has publicly shared her weight loss journey for years and famously declared “I love bread” in a Weight Watchers commercial back in 2016.   ",www.cnn.com,https://www.cnn.com/2022/10/31/entertainment/oprah-winfrey-gummies-scams-intl-scli-wellness/index.html,"© 2024 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.
CNN Sans ™ & © 2016 Cable News Network."
,,Video,,www.facebook.com,https://www.facebook.com/oprahwinfrey/videos/fraud-alert-please-dont-buy-any-weight-loss-gummies-with-my-picture-or-name-on-t/1548023448946712/,
,,"Oprah Isn't Selling Weight-Loss Gummies, Regardless of the Ads You May Have Seen","And she really, really doesn't want you to fall for those fake ads.  Oprah Winfrey is no stranger to endorsing products she thinks her fans will fall in love with—after all, her new slate of ""Favorite Things"" just arrived in time for holiday shopping. But disreputable companies have been known to fake Oprah's seal of approval, and she's setting the record straight on one nefarious example. The media mogul took to Instagram on Monday to call out weight loss supplement brands for trying to attach her image and endorsement to their products in online ads and targeted email campaigns. Winfrey says she knew she had to come out and say something after five people approached her about the gummies over the course of a week. ""So it happened to me again today,"" Oprah explains in the brief video. ""A woman came up to me and said, 'Can you help me get your weight loss gummies?' And I said, 'Ma'am, I don't have anything to do with weight loss gummies, and let me just tell you, you're the fifth person this week to mention it.' So I'm going to address it."" Online fact-checkers—from Snopes to USA Today—have debunked the advertisements in the past. To be clear, Oprah isn't hawking a line of CBD with Whoopi Goldberg, nor is she involved with keto gummies from Weight Watchers. A spokesperson from Oprah's team denied her endorsement of a diet pill to Politifact back in March. But that doesn't seem to stop scammers from spreading those lies on social media. ""It's come to my attention many times over,"" Oprah went on to say in her Instagram post. ""Somebody's out there misusing my name, even sending emails to people advertising weight loss gummies. I have nothing to do with weight loss gummies or diet pills, and I don't want you all taken advantage of by people misusing my name. So please know: I have no weight loss gummies."" It makes sense that advertisers would want to tie Winfrey, who has been open about her health goals and journey in the past, to some kind of quick fix for weight loss. But while we might not always agree with Oprah's takes on health and wellness, her suggestions haven't typically leaned into diet pill territory—back in the days of Fen-Phen and Redux, Oprah was championing a more food- and fitness-based weight loss philosophy. Articles on her website still recommend a lifestyle of healthy eating and movement, only turning to supplements or pills in consultation with a doctor. We at EatingWell would definitely have to agree—most over-the-counter supplements go unregulated, and the only way to judge their safety is by checking out the Department of Defense's Operation Supplement Safety Scorecard. Even if you find a safe supplement that piques your interest, there's a good chance the supplement will be ineffective or result in unsustainable weight loss, as EatingWell Nutrition Editor Jessica Ball, M.S., RD, has pointed out. If you're really eager to lose weight, there are much healthier (and more sustainable) tips you can follow. For instance, transitioning to a customizable and varied eating pattern like the Mediterranean diet, which is chock-full of healthy proteins, fats and carbs, can help you balance your plate without feeling bored or stifled by eating the same dishes on repeat. Finding a kind of exercise you enjoy—whether it's kickboxing, taking a walk or dancing around the kitchen—can also be key to helping you feel your best. You'd also do well to remember that weight loss isn't as important as your health, and the two things might not always go hand-in-hand. Unless a doctor has told you differently, your top priority should be your overall health, which you can take care of by eating a wide variety of foods, getting some exercise, sleeping and making time for your mental health. An internet gummy is no match for sustainable choices that support your wellbeing. ",www.eatingwell.com,https://www.eatingwell.com/article/8010682/oprahs-image-fraudulently-used-for-weight-loss-gummies/,
,,,"University of Pittsburgh menu Main menu University of Pittsburgh 
Department of Psychiatry Thomas Detre Hall
3811 O'Hara Street
Pittsburgh, PA 15213 Contact Us Have questions about our residency training program? Contact Meghan Wander, MPA
Academic Manager
Psychiatry Residency Training wanderme2@upmc.edu
412-246-5320 You can make a difference! Please consider becoming a research participant today. Browse current studies. Psy Hub for faculty. (Log-in required). Social Media menu Fill in the form to subscribe to the mailing list. Footer menu ",psychiatry.pitt.edu,https://psychiatry.pitt.edu/vdfLOXG-dfLOm/bcenu-jvaserl-jrvtug-ybff-EpXv-thzzvrf-erivrj,
,,"Oprah speaks out on weight loss gummies marketed with her name, image: 'Fraud alert!'","BOBBIE’S BESTS FOR LESS: UP TO 50% OFF HER FAVORITE FINDS — PICKS FROM HAUS LABS, VERSED AND MORE       Oprah Winfrey is setting the record straight about false claims that she's endorsing weight loss gummies. Over the weekend, the media mogul shared a video on her Instagram page to inform fans that any weight loss gummies that use her name or photo in advertising are in no way endorsed by her. ""And so it happened to me again today. A woman came up to me and said, 'Can you help me get your weight loss gummies?' And I said, ‘Ma’am, I don’t have anything to do with weight loss gummies. And let me just tell you, you’re the fifth person this week to mention it, so I’m going to address it,'"" the 68-year-old said in the short clip. The TV personality went on to explain that ""somebody's out there misusing my name, even sending emails to people advertising weight loss gummies."" ""I have nothing to do with weight loss gummies or diet pills, and I don’t want you all taken advantage of by people misusing my name. So please know I have no weight loss gummies,"" she stressed. The former talk show host shared some additional advice to fans in the caption of her Instagram post: ""Fraud alert! Please don’t buy any weight loss gummies with my picture or name on them. There have been social media ads, emails, and fake websites going out and I want you to hear it straight from me, that I have nothing to do with them. Please don’t be taken advantage of and don’t give your personal information to them."" Winfrey's team did not immediately respond to TODAY's request for further comment. In a statement to USA Today earlier this year, Winfrey's senior vice president of communications Nicole Nichol emphasized that the gummies are a scam. “These ads are a complete fabrication,” she said. “Oprah has nothing to do with this gummy product and does not endorse any such diet or weight-loss pill.” Winfrey has spoken openly about her weight loss journey over the years and has a partnership with WW International (formerly known as Weight Watchers) and is an investor in the company. In a 2015 campaign for WW International, the TV personality opened up about her weight loss journey. “Anybody who struggles with their weight — and I’m at the head of that class — knows it’s not just about the weight; it’s about something bigger,” she said at the time. Related: Chrissy Callahan covers a range of topics for TODAY.com, including fashion, beauty, pop culture and food. In her free time, she enjoys traveling, watching bad reality TV and consuming copious amounts of cookie dough.                                              ",www.today.com,https://www.today.com/health/health/oprah-calls-fraud-alert-weight-loss-gummies-using-name-photo-rcna54806,© 2024 NBC UNIVERSAL
,,Oprah Winfrey Weight Loss Gummies Facebook Ads Are a Scam,"Meta, the parent company of Facebook and Instagram, is continuing to host at least dozens of different scam ads on the two social media platforms that claim there are ""career-ending allegations"" against Oprah Winfrey. Those ads lead to fake articles that were designed to fool users into thinking they're reading from a well-known news website. The articles say that Winfrey endorsed so-called ""weight loss gummies,"" usually mentioning either CBD gummies or keto gummies. However, there were no allegations against Winfrey. That part was clickbait. Further, Winfrey never endorsed any weight loss diet supplements or gummies of the CBD or keto variety. In the past, we published two different reports about this subject. The first one was presented on this website on Dec. 15, 2021, and debunked the rumor that Winfrey had endorsed CBD oil and CBD gummies. The second report was from May 12, 2022, and debunked the claim about Winfrey and keto gummies. More than one year after our first story was published, Meta is still accepting money from unknown advertisers who are using Winfrey's image and likeness without permission in order to push ""weight loss gummy"" scams, either about CBD or keto, to users. In fact, in order to push the scam to even more users, scammers are using one of Winfrey's own Instagram videos where she put out her own ""fraud alert"" about the ""weight loss gummies"" falsehood.   In the video's caption, Winfrey wrote, ""Fraud alert! Please don't buy any weight loss gummies with my picture or name on them. There have been social media ads, emails, and fake websites going out and I want you to hear it straight from me, that I have nothing to do with them. Please don't be taken advantage of and don't give your personal information to them."" During the video, here's what Winfrey had to say about the ""weight loss gummies"" scam: And so, it happened to me again today. A woman came up to me and said, ""Can you help me get your weight loss gummies?"" And I said, ""Ma'am, I don't have anything to do with weight loss gummies, and let me just tell you, you're the fifth person this week to mention it."" So I'm going to address it. So this is my attempt to address it. It's come to my attention, many times over, somebody's out there misusing my name, even sending emails to people, advertising weight loss gummies. I have nothing to do with weight loss gummies or diet pills and I don't want you all taken advantage of by people misusing my name. So please know I have no weight loss gummies.  In the Instagram video, Winfrey's final and slowly pronounced mention of the three words ""weight loss gummies"" was trimmed out by scammers and used in new video ads, as if Winfrey had made the video to endorse the products. In other words, Meta, which hosted Winfrey's original Instagram video, was allowing scammers to repackage her words into a misleading clip, for which Meta then accepted money to be run as paid ads, and continues to do so today.    Jordan Liles is a Senior Reporter who has been with Snopes since 2016. Company Navigate Sections Account This material may not be reproduced without permission. Snopes and the Snopes.com logo are registered service marks of Snopes.com ",www.snopes.com,https://www.snopes.com/news/2023/01/13/oprah-winfrey-allegations-weight-loss-gummies/,© 1995 - 2024 by Snopes Media Group Inc.
,,OPRAH WINFREY AND WEIGHT WATCHERS JOIN FORCES IN GROUNDBREAKING PARTNERSHIP | WW USA,"  OPRAH WINFREY AND WEIGHT WATCHERS JOIN FORCES IN GROUNDBREAKING PARTNERSHIP   NEW YORK, NY (October 19, 2015) – Oprah Winfrey and Weight Watchers International, Inc. (NYSE: WTW) have joined together in a groundbreaking partnership to inspire people around the world to lead a healthier and more fulfilling life.  Winfrey was compelled by the proven Weight Watchers program combined with new initiatives to broaden the company’s mission to prioritize overall health and wellness.  As a part of this long-term partnership, Winfrey is making a substantial equity investment in the company and is joining the Board of Directors, bringing her insight to future products and programs. “Weight Watchers has given me the tools to begin to make the lasting shift that I and so many of us who are struggling with weight have longed for,” said Oprah Winfrey.  “I believe in the program so much I decided to invest in the company and partner in its evolution.” “We are expanding our purpose from focusing on weight loss alone to more broadly helping people lead a healthier, happier life,” said Jim Chambers, President and CEO, Weight Watchers International, Inc. “Through our conversations, it became clear that there is tremendous alignment between Oprah’s intention and our mission. We believe that her remarkable ability to connect and inspire people to realize their full potential is uniquely complementary to our powerful community, extraordinary coaches and proven approach.” Winfrey’s roles at Weight Watchers will include: “Weight Watchers and Oprah Winfrey make a powerful combination,” said Ray Debbane, Chairman of the Board of Directors, Weight Watchers International, Inc. “Oprah is a force of nature in connecting with people on a very personal level to live inspired lives. This partnership will accelerate our transformation and will meaningfully expand our ability to impact many millions of people worldwide.”   # # #   About Weight Watchers International, Inc. Weight Watchers International, Inc. is the world's leading commercial provider of weight management services, operating globally through a network of Company-owned and franchise operations. Weight Watchers holds more than 36,000 meetings each week where members receive group support and learn about healthy eating patterns, behavior modification and physical activity. Weight Watchers provides innovative, digital weight management products through its websites, mobile sites and apps. Weight Watchers is the leading provider of online subscription weight management products in the world. In addition, Weight Watchers offers a wide range of products, publications and programs for those interested in weight loss and weight control.     ",www.weightwatchers.com,https://www.weightwatchers.com/us/oprah-winfrey-and-weight-watchers-join-forces-groundbreaking-partnership,"The WeightWatchers® Logo, WeightWatchers®, Points, and ZeroPoint are trademarks of WW International, Inc. ©2024 WW International, Inc. All rights reserved."
,,Oprah Sues Weight Loss Company for Using Her Name to Sell Gummy Products,"Oprah Winfrey
Get info without
leaving the page.
is taking legal action against a company that has been using her name to sell several weight loss products.  

The suit was filed on Wednesday by Harpo Inc., which is the production company founded by Winfrey. Harpo Inc. is also the owner of the Oprah brand. The complaint was field to the US District Court for the Central District of California. Get info without
leaving the page. The suit accuses Emblaze One, Limitless X Inc., and other brands of selling and promoting Oprah Winfrey Keto Gummies and Oprah Winfrey CBD Gummies online across multiple websites. In her lawsuit, Winfrey said the company has misled her fans into thinking she is connected to the wight loss products. Winfrey is also requesting that the company be prohibited from using her name. And she’s asking that all profits from sales of the items attached to her name be given to her.

“When consumers see advertisements like this one, the only logical conclusion is that Ms. Winfrey and/or her company signed off on the use of ‘Oprah Keto Pills’ and the pills do in fact work,” the suit read. Winfrey’s attorney also spoke about the issue. “The unlawful actions of Defendants amount to a willful and conscious disregard for [Oprah’s] rights and are intentionally designed to capitalize on the goodwill, celebrity and/or fame associated with Ms. Winfrey and/or the OPRAH brand,” the attorney added. Winfrey spoke out about the weight loss pills back in 2022, telling her fans in an Instagram video that she doesn’t endorse any edible weight loss products. “I have nothing to do with weight loss gummies or diet pills and I don’t want you all taken advantage of by people misusing my name,” she said in the video. “There have been social media ads, emails, and fake websites going out and I want you to hear it straight from me, that I have nothing to do with them. Please don’t be taken advantage of and don’t give your personal information to them.” The post Oprah Sues Weight Loss Company for Using Her Name to Sell Gummy Products appeared first on 21Ninety.  ",news.yahoo.com,https://news.yahoo.com/oprah-sues-weight-loss-company-171006958.html,
,,,"University of Pittsburgh menu Main menu University of Pittsburgh 
Department of Psychiatry Thomas Detre Hall
3811 O'Hara Street
Pittsburgh, PA 15213 Contact Us Have questions about our residency training program? Contact Meghan Wander, MPA
Academic Manager
Psychiatry Residency Training wanderme2@upmc.edu
412-246-5320 You can make a difference! Please consider becoming a research participant today. Browse current studies. Psy Hub for faculty. (Log-in required). Social Media menu Fill in the form to subscribe to the mailing list. Footer menu ",psychiatry.pitt.edu,https://psychiatry.pitt.edu/jagaoXG-CIHqW/bcenu-thzzvrf-sbe-jrvtug-ybff-OTews,
